"date","cases","deaths"
NA,521546,5696
NA,521714,5698
NA,521880,5699
NA,521946,5700
NA,522034,5701
NA,522042,5701
NA,522049,5702
NA,522055,5703
NA,522056,5704
NA,522056,5704
NA,522088,5705
NA,522121,5705
NA,522176,5706
NA,522234,5706
NA,522243,5706
NA,522263,5706
NA,522263,5706
NA,522305,5708
NA,522325,5709
NA,522434,5709
NA,522434,5709
NA,522514,5709
NA,522564,5709
NA,522587,5709
NA,522625,5709
NA,522672,5709
NA,522749,5709
NA,522749,5709
NA,522749,5709
NA,522840,5710
NA,522840,5710
NA,522921,5711
NA,522921,5711
NA,523020,5712
NA,523059,5712
NA,523059,5712
NA,523119,5713
NA,523174,5715
NA,523238,5716
NA,523266,5716
NA,523343,5716
NA,523377,5716
NA,523411,5717
NA,523411,5717
NA,523444,5718
NA,523540,5720
NA,523593,5720
NA,523618,5721
NA,523618,5721
NA,523654,5721
NA,523710,5722
NA,523710,5722
NA,523769,5722
NA,523833,5722
NA,523901,5722
NA,523937,5722
NA,523969,5722
NA,523969,5722
NA,524085,5722
NA,524152,5723
NA,524152,5723
NA,524291,5724
NA,524321,5724
NA,524321,5724
NA,524370,5724
NA,524488,5724
NA,524718,5724
NA,524823,5724
NA,524911,5724
NA,524978,5724
NA,525105,5725
NA,525105,5725
NA,525340,5725
NA,525539,5726
NA,525716,5728
NA,525782,5729
NA,525827,5730
NA,525827,5730
NA,526022,5732
NA,526022,5732
NA,526454,5734
NA,526688,5735
NA,526688,5735
NA,527074,5735
NA,527074,5735
NA,527241,5737
NA,527347,5738
NA,527789,5739
NA,527964,5740
NA,528292,5741
NA,528429,5741
NA,528566,5741
NA,528785,5742
NA,528994,5743
NA,529384,5745
NA,529730,5747
NA,530402,5748
NA,530649,5748
NA,530649,5748
NA,531094,5753
NA,531657,5753
NA,531963,5755
NA,531963,5755
NA,532902,5757
NA,533195,5757
NA,533195,5757
NA,533379,5757
NA,534451,5759
NA,534906,5761
NA,535277,5762
NA,535836,5763
NA,536086,5763
NA,536086,5763
NA,536586,5763
NA,537177,5764
NA,537487,5766
NA,538155,5768
NA,538435,5768
NA,538631,5768
NA,538631,5768
NA,539205,5770
NA,539205,5770
NA,539205,5770
NA,540102,5775
NA,540222,5778
NA,540222,5778
NA,540681,5779
NA,540796,5781
NA,540796,5781
NA,540977,5784
NA,541322,5786
NA,541405,5788
NA,541600,5790
NA,541708,5790
NA,541708,5790
NA,541807,5792
NA,542039,5794
NA,542199,5794
NA,542252,5796
NA,542281,5796
NA,542281,5796
NA,542508,5796
NA,542508,5796
NA,542508,5796
NA,542874,5798
NA,542874,5798
NA,542952,5801
NA,543123,5803
NA,543204,5804
NA,543204,5804
NA,543204,5804
NA,543759,5807
NA,543811,5809
NA,543832,5809
NA,543832,5809
NA,543930,5809
NA,544057,5809
NA,544090,5809
NA,544090,5809
NA,544210,5811
NA,544248,5812
NA,544270,5814
NA,544310,5814
NA,544310,5814
NA,544355,5814
NA,544450,5814
NA,544450,5814
NA,544531,5814
NA,544620,5814
NA,544687,5814
NA,544687,5814
NA,544803,5814
NA,544860,5816
NA,544874,5816
NA,544884,5816
NA,544884,5816
NA,544907,5818
NA,544921,5818
NA,544921,5818
NA,544950,5818
NA,544950,5818
NA,544964,5818
NA,544966,5818
NA,545013,5818
NA,545159,5818
NA,545193,5819
NA,545231,5820
NA,545323,5820
NA,545323,5820
NA,545377,5820
NA,545469,5820
NA,545469,5820
NA,545523,5820
NA,545523,5820
